gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mki67	12467.4023656663	6.14470342681327	0.20340350869697	30.2094268981743	1.78112233367435e-200	3.0366354666814e-196
Aicda	7151.24555478707	8.6166336717384	0.301992144739485	28.5326417320278	4.61284521500705e-179	3.93221990353276e-175
Rgs13	3651.16852268696	7.4401089926358	0.273004287678054	27.2527184679594	1.54303563076114e-163	8.76907148961558e-160
Mef2b	5004.03512003904	7.18726511452966	0.270842849966117	26.5366618148819	3.66103401485308e-155	1.56042422298076e-151
S1pr2	4937.908782199	6.53069897052401	0.264151360166442	24.7233213806244	6.00450367097547e-135	2.04741566172922e-131
Nuggc	2373.66728127988	7.8425087972232	0.322840572020444	24.2922032634937	2.36992454579801e-130	6.73414059688504e-127
Rrm2	5520.59649357693	5.78465590288662	0.238429034483579	24.2615414494958	4.99526177076536e-130	1.21663168471112e-126
Top2a	6617.92627538295	4.98117330633145	0.208838357911268	23.8518122635684	9.69728494307101e-126	2.06661263743022e-122
Ccna2	2384.8271280154	5.79728684546775	0.244588564109072	23.702199105607	3.422252520121e-124	6.48288702394922e-121
Hmces	7538.38776333918	4.92981561236347	0.208521850011459	23.6417220166259	1.43601354045016e-123	2.44825948511348e-120
Ccnb2	2000.28543405516	6.45069651567306	0.27748998195832	23.2465924360541	1.54003358781753e-119	2.38691205806374e-116
Stmn1	5294.50591801457	5.06869560687482	0.220133184265248	23.0255861868028	2.58408509320884e-117	3.67133889617646e-114
Jchain	6004.61666035622	4.9138041294619	0.21416844494899	22.9436420039948	1.70538970497738e-116	2.2365530061661e-113
Asf1b	2857.14616331324	5.17513804599062	0.228869023695248	22.6117888844653	3.31815239979503e-113	4.04079859029325e-110
Ncapg	2427.99996606422	5.83184598615307	0.258877369103083	22.5274461277103	2.23474977935186e-112	2.54001659921133e-109
Tpx2	1909.70414772378	5.64063440491553	0.252707322858524	22.3208189660313	2.32001166651299e-110	2.47211743139875e-107
Ada	2137.94053171941	6.26417834875294	0.281660525374584	22.2401713567144	1.40419053735732e-109	1.40823791008264e-106
Basp1	1984.8437471435	6.31985034033859	0.284463284123392	22.2167523651214	2.36571074945560e-109	2.24072236485936e-106
Nusap1	1925.05340316103	5.45780046602759	0.249084397226643	21.911450603875	2.02043583885315e-106	1.81296897982144e-103
Hist1h2ap	6832.70546710898	5.62132727204593	0.258970618011143	21.7064287648418	1.78392099639536e-104	1.52070345337723e-101
Uhrf1	3821.21672904411	4.69331774751664	0.217084157475654	21.619807737665	1.16963519608758e-103	9.49576688480813e-101
Kif20a	2375.75516992734	5.79595366918133	0.268262777989839	21.60550827294	1.5942448315612e-103	1.23546727878577e-100
Cdca8	1935.83540102377	5.4854273714395	0.257580638020162	21.2959615815927	1.23740653738328e-100	9.17241045906412e-98
Plk1	1443.30963577358	5.81214035056314	0.273833017213083	21.2251262090883	5.59757479318915e-100	3.97637719371174e-97
Cenpe	2362.04339933253	5.39466985171096	0.255680381362614	21.0992717664171	8.07704414189008e-99	5.50822102300336e-96
Ncaph	1646.11243439293	5.23718951753844	0.251715342557604	20.8060003984061	3.8190931286598e-96	2.50429687502004e-93
Pclaf	4774.23793082136	4.82579446368526	0.23225677322733	20.7778416819812	6.86773885206145e-96	4.33659554402947e-93
Fas	1686.85004863946	4.98917784348495	0.246548054299779	20.2361274261714	4.7073670866348e-91	2.86628219500131e-88
Bub1b	1848.12477002347	4.96505040505715	0.245677804470085	20.2096010087949	8.05968319792238e-91	4.73825996004754e-88
Cdc6	1275.95773602182	5.48230495112758	0.272456849269629	20.1217365825962	4.7610586098963e-90	2.70570960800407e-87
Cdca3	1278.83300984725	5.62966182416221	0.282110853596387	19.9554953394899	1.3428571656329e-88	7.38528123125009e-86
Hmgb2	6707.43584598313	4.15027397123416	0.20893757089453	19.8637035620998	8.38902698078666e-88	4.46951628110724e-85
Rassf6	1192.89935036347	5.86026314172326	0.297268399288129	19.7137104238354	1.64454896362665e-86	8.49633796390023e-84
Neil1	5764.49909567947	4.47291435974351	0.227163609838848	19.6902768137759	2.6125802866352e-86	1.31005533255422e-83
Ccnb1	1742.80146959477	5.11538411859839	0.262555646660262	19.4830474364831	1.52901804596838e-84	7.44806533306141e-82
Ckap2l	1166.66782039946	5.33241411999055	0.276641497889181	19.2755395003198	8.61969208570686e-83	4.08214251025601e-80
Cdc20	1653.88581182632	4.91001742788871	0.254752630155226	19.2736672626184	8.93729187635788e-83	4.11815916756826e-80
Mybl1	1621.71085119965	6.18995540734052	0.323041753136426	19.16147168978	7.76464502388362e-82	3.48366928979452e-79
Kif4	978.224965593611	5.77867464539947	0.302592755934212	19.0972008816227	2.6639107227172e-81	1.1645388182463e-78
Nek2	997.55520027491	5.91911850062542	0.315840052704821	18.7408735843814	2.29823268177725e-78	9.79564224790507e-76
Mcm5	5742.5092190816	3.92649727257652	0.210236770222642	18.6765486761347	7.68288724760234e-78	3.19476938254567e-75
Plxnb2	2765.20177588046	4.39415426882208	0.235318425412028	18.6732265487846	8.17607872350763e-78	3.31890395612099e-75
Mybl2	1455.0802117602	4.86904464475093	0.260930669403784	18.6603002854225	1.04144338916227e-77	4.12920193995991e-75
H2ac8	1073.69322958672	5.5644267035903	0.29840363281151	18.6473155543155	1.32778806752224e-77	5.14487699163332e-75
Racgap1	2221.4552273594	4.17585655759349	0.225796072513006	18.4939291065523	2.31086890599599e-76	8.75511199518348e-74
Cep55	984.542421246322	5.74199314550999	0.311896015673997	18.4099599127669	1.09303449801375e-75	4.05111851231225e-73
